zip,city,state,county,latitude,longitude,10_year_price,5_year_price,current_price,10_year_growth,5_year_growth
33823,Auburndale,FL,Polk,28.0724,-81.8122,"94,147.00","140,425.00","230,841.00",1.45,0.64
32233,Atlantic Beach,FL,Duval,30.3483,-81.4159,"174,089.00","244,280.00","392,492.00",1.25,0.61
32102,Astor,FL,Lake,29.165,-81.5399,"132,187.00","152,640.00","217,258.00",0.64,0.42
32618,Archer,FL,Alachua,29.5597,-82.5108,"128,712.00","157,131.00","225,356.00",0.75,0.43
34288,North Port,FL,Sarasota,27.0498,-82.1288,"74,878.00","96,590.00","139,147.00",0.86,0.44
34289,North Port,FL,Sarasota,27.0808,-82.1516,"108,775.00","147,327.00","205,299.00",0.89,0.39
32703,Apopka,FL,Orange,28.6354,-81.4888,"104,331.00","174,984.00","278,394.00",1.67,0.59
32712,Apopka,FL,Orange,28.712,-81.5136,"150,042.00","231,258.00","340,944.00",1.27,0.47
33572,Apollo Beach,FL,Hillsborough,27.7716,-82.4102,"185,913.00","266,555.00","377,931.00",1.03,0.42
32320,Apalachicola,FL,Franklin,29.7255,-85.0063,"111,892.00","151,216.00","199,857.00",0.79,0.32
32617,Anthony,FL,Marion,29.3048,-82.1262,"98,229.00","123,778.00","209,500.00",1.13,0.69
34216,Anna Maria,FL,Manatee,27.5291,-82.7317,"644,691.00","971,956.00","1,471,203.00",1.28,0.51
33920,Alva,FL,Lee,26.7147,-81.6351,"153,578.00","235,816.00","323,953.00",1.11,0.37
32702,Altoona,FL,Lake,29.0219,-81.6323,"88,548.00","105,882.00","170,357.00",0.92,0.61
32421,Altha,FL,Calhoun,30.5319,-85.1704,"60,519.00","100,814.00","139,976.00",1.31,0.39
32430,Clarksville,FL,Calhoun,30.3568,-85.1898,"58,089.00","105,010.00","141,262.00",1.43,0.35
32701,Altamonte Springs,FL,Seminole,28.6666,-81.365,"95,199.00","153,689.00","241,315.00",1.53,0.57
32714,Altamonte Springs,FL,Seminole,28.6625,-81.4117,"105,082.00","170,133.00","264,196.00",1.51,0.55
32420,Alford,FL,Jackson,30.6412,-85.3756,"75,867.00","113,518.00","146,588.00",0.93,0.29
32615,Alachua,FL,Alachua,29.8135,-82.472,"153,453.00","176,266.00","252,646.00",0.65,0.43
